category,sample_id,group,paired_patient_id,cell_line,replicate,pathway_score,available_gene_count,requested_gene_count,available_genes
oxidative stress / ROS,GSM9181265,control,2,FA2ic,3,0.062156404607019794,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181260,disease,2,FA2,1,-1.0175076524310913,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181261,disease,2,FA2,2,-1.9142858916656964,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181262,disease,2,FA2,3,0.5627103193390965,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181269,control,3,FA3ic,1,0.21606381566033822,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181270,control,3,FA3ic,2,-0.23519226640654411,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181271,control,3,FA3ic,3,0.8839321266661286,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181266,disease,3,FA3,1,-0.1174949230587853,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181267,disease,3,FA3,2,1.273891179439901,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181268,disease,3,FA3,3,0.49047779944293357,4,4,SOD2;GPX1;CAT;PRDX3
respiratory chain complex I,GSM9181257,control,1,FA1ic,1,0.32596416503369435,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181258,control,1,FA1ic,2,1.056298761332274,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181259,control,1,FA1ic,3,1.5489145817074492,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181254,disease,1,FA1,1,0.24608084439009753,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181255,disease,1,FA1,2,0.5448560134922986,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181256,disease,1,FA1,3,-0.22469551867210452,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181263,control,2,FA2ic,1,-0.06940940386779092,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181264,control,2,FA2ic,2,-0.5642496411734104,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181265,control,2,FA2ic,3,-0.10154523518243079,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181260,disease,2,FA2,1,-1.2096135310055036,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181261,disease,2,FA2,2,-2.5198410722196694,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181262,disease,2,FA2,3,-0.5268387402494698,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181269,control,3,FA3ic,1,0.8423430700593577,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181270,control,3,FA3ic,2,-0.09498138972224206,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181271,control,3,FA3ic,3,1.1341935570492203,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181266,disease,3,FA3,1,-1.347828368008406,2,2,NDUFA1;NDUFB8
