gene_id,gene_symbol,mean_log2_cpm_disease,mean_log2_cpm_control,mean_log2_cpm,log2_fold_change,p_value,n_pairs,method,comparison,padj,abs_log2_fold_change
ENSG00000141480,ARRB2,2.5701039168149555,2.968862397338228,2.7694831570765923,-0.3987584805232727,0.3160269777904548,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.3987584805232727
ENSG00000239415,AP001469.3,1.297924551769818,1.495035105728043,1.3964798287489304,-0.1971105539582252,0.31605291060030377,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.1971105539582252
ENSG00000158019,BABAM2,4.7307636996086755,4.5685553460726664,4.649659522840671,0.16220835353600904,0.3160831041021968,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.16220835353600904
ENSG00000183137,CEP57L1,3.7641730514704146,3.6714915246616022,3.7178322880660084,0.09268152680881236,0.316118873394176,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.09268152680881236
ENSG00000214941,ZSWIM7,4.372908142470675,4.39797599241511,4.3854420674428924,-0.025067849944434784,0.3161325945838133,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.025067849944434784
ENSG00000187720,THSD4,4.211199568660953,4.776600437228558,4.493900002944756,-0.5654008685676057,0.3163002072134559,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6825972743923374,0.5654008685676057
ENSG00000181619,GPR135,2.3769649965848267,2.2298737366167383,2.303419366600783,0.14709125996808847,0.31645028782469603,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6827516899958045,0.14709125996808847
ENSG00000128185,DGCR6L,5.376931077677207,5.425062770811647,5.400996924244427,-0.04813169313444021,0.3164621906146116,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6827516899958045,0.04813169313444021
ENSG00000100036,SLC35E4,2.684303771872909,2.390635012496161,2.537469392184535,0.29366875937674797,0.3166178544287472,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6829318942924278,0.29366875937674797
ENSG00000141505,ASGR1,1.6746677670104935,1.3895132345244725,1.532090500767483,0.28515453248602096,0.31663617165174085,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6829318942924278,0.28515453248602096
ENSG00000109072,VTN,2.7570081498473837,2.2332435088083225,2.4951258293278533,0.5237646410390613,0.3167198648349793,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6829413157742125,0.5237646410390613
ENSG00000103343,ZNF174,3.8165109040696907,3.756470321813261,3.786490612941476,0.06004058225642961,0.3167309956534311,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6829413157742125,0.06004058225642961
ENSG00000038210,PI4K2B,4.788828583201681,4.59320389675463,4.691016239978155,0.19562468644705167,0.31682773358182575,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6830523668026226,0.19562468644705167
ENSG00000102547,CAB39L,5.602181143561694,5.9573587763674745,5.779769959964585,-0.3551776328057805,0.3169635693207138,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6831514618033412,0.3551776328057805
ENSG00000108443,RPS6KB1,5.286029939871285,5.360352705916884,5.323191322894084,-0.07432276604559895,0.31703493751938805,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6831514618033412,0.07432276604559895
ENSG00000143768,LEFTY2,3.979491136416646,4.14426916297607,4.061880149696358,-0.16477802655942453,0.3170543599193496,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6831514618033412,0.16477802655942453
ENSG00000132405,TBC1D14,6.0699541062461355,6.2190560003651605,6.144505053305648,-0.14910189411902497,0.3170753989803286,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6831514618033412,0.14910189411902497
ENSG00000099810,MTAP,4.850682085234433,5.039286546389015,4.944984315811724,-0.18860446115458185,0.31709990700527274,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6831514618033412,0.18860446115458185
ENSG00000162650,ATXN7L2,3.068447623564598,2.9174797257639224,2.99296367466426,0.15096789780067565,0.31722547316870875,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832700789380581,0.15096789780067565
ENSG00000066230,SLC9A3,3.355450655651733,3.50252482734723,3.4289877414994816,-0.14707417169549686,0.3172454651281275,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832700789380581,0.14707417169549686
ENSG00000115275,MOGS,5.224696944460633,4.9242837874898,5.074490365975216,0.3004131569708335,0.3173454958476421,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832835721116615,0.3004131569708335
ENSG00000175470,PPP2R2D,5.124233446126056,5.202658336766181,5.163445891446119,-0.07842489064012437,0.3173568637546516,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832835721116615,0.07842489064012437
ENSG00000181625,SLX1B,4.445279304446327,4.615172572365087,4.530225938405707,-0.16989326791876014,0.31743961281447547,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832835721116615,0.16989326791876014
ENSG00000172590,MRPL52,5.173454698947009,5.067195139101924,5.120324919024466,0.1062595598450855,0.31746704296860906,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832835721116615,0.1062595598450855
ENSG00000204685,STARD7-AS1,2.680933694621938,2.5734886409766475,2.627211167799293,0.10744505364529067,0.3175551252612666,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832835721116615,0.10744505364529067
ENSG00000167461,RAB8A,6.171435387206228,5.950152296823815,6.060793842015021,0.22128309038241234,0.31757288467625683,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832835721116615,0.22128309038241234
ENSG00000143545,RAB13,5.76063603304837,5.921057342325267,5.8408466876868195,-0.1604213092768969,0.31758103704682494,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832835721116615,0.1604213092768969
ENSG00000188529,SRSF10,7.02132206767324,7.11112515419207,7.0662236109326555,-0.08980308651883018,0.31761373461269876,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6832835721116615,0.08980308651883018
ENSG00000013441,CLK1,5.4060748756384385,5.620902423487903,5.513488649563171,-0.21482754784946412,0.31789311130473413,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6837871767381033,0.21482754784946412
ENSG00000091436,MAP3K20,8.66663905211722,8.916997167878117,8.791818109997669,-0.2503581157608963,0.3179586850251452,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6838308138270462,0.2503581157608963
ENSG00000143324,XPR1,7.77196856646949,7.841305906994804,7.806637236732147,-0.0693373405253137,0.3180962274110824,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6840291987905646,0.0693373405253137
ENSG00000105193,RPS16,7.607705580171305,7.762122794686676,7.68491418742899,-0.15441721451537127,0.3181507616817272,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6840490533097081,0.15441721451537127
